date,open,high,low,close,volume
2018-03-26,42.018,43.275,41.61,43.193,150164800
2018-03-27,43.42,43.787,41.73,42.085,163690400
2018-03-28,41.812,42.505,41.298,41.62,166674000
2018-03-29,41.952,42.938,41.725,41.945,153594000
2018-04-02,41.66,42.235,41.118,41.67,150347200
2018-04-03,41.91,42.188,41.22,42.097,121112000
2018-04-04,41.22,43.002,41.193,42.903,138422000
2018-04-05,43.145,43.557,43.02,43.2,107732800
2018-04-06,42.743,43.12,42.05,42.095,140021200
2018-04-09,42.47,43.272,42.463,42.513,116070800
2018-04-10,43.25,43.5,42.882,43.312,113634400
2018-04-11,43.057,43.48,42.925,43.11,89726400
2018-04-12,43.353,43.75,43.26,43.535,91557200
2018-04-13,43.695,43.96,43.463,43.682,100497200
2018-04-16,43.757,44.048,43.708,43.955,86313600
2018-04-17,44.123,44.735,44.103,44.56,106421600
2018-04-18,44.452,44.705,44.22,44.46,83018000
2018-04-19,43.44,43.847,43.165,43.2,139235200
2018-04-20,42.65,42.805,41.357,41.43,261964400
2018-04-23,41.708,41.73,41.022,41.31,146062000
2018-04-24,41.417,41.583,40.305,40.735,134768000
2018-04-25,40.655,41.355,40.603,40.912,113528400
2018-04-26,41.03,41.432,40.842,41.055,111852000
2018-04-27,41.0,41.083,40.158,40.58,142623200
2018-04-30,40.533,41.815,40.46,41.315,169709600
2018-05-01,41.603,42.3,41.318,42.275,214277600
2018-05-02,43.807,44.438,43.45,44.143,266157600
2018-05-03,43.97,44.375,43.61,44.222,136272800
2018-05-04,44.562,46.062,44.542,45.958,224805200
2018-05-07,46.295,46.917,46.188,46.29,169805600
2018-05-08,46.248,46.555,45.917,46.513,113611200
2018-05-09,46.638,46.85,46.305,46.84,92844800
2018-05-10,46.935,47.592,46.912,47.51,111957200
2018-05-11,47.373,47.515,46.862,47.147,104848800
2018-05-14,47.252,47.382,46.965,47.037,83115200
2018-05-15,46.695,46.768,46.275,46.61,94780800
2018-05-16,46.518,47.115,46.5,47.045,76732400
2018-05-17,47.0,47.228,46.59,46.748,69176000
2018-05-18,46.798,46.952,46.533,46.577,73190800
2018-05-21,47.0,47.318,46.728,46.908,73603200
2018-05-22,47.095,47.22,46.695,46.79,60962800
2018-05-23,46.588,47.125,46.44,47.09,80233600
2018-05-24,47.193,47.21,46.553,47.037,92936000
2018-05-25,47.057,47.412,46.912,47.145,69844000
2018-05-29,46.9,47.188,46.717,46.975,90056400
2018-05-30,46.93,47.0,46.695,46.875,74762000
2018-05-31,46.805,47.057,46.535,46.717,109931200
2018-06-01,46.998,47.565,46.938,47.56,93770000
2018-06-04,47.91,48.355,47.838,47.958,105064800
2018-06-05,48.268,48.485,48.09,48.327,86264000
2018-06-06,48.408,48.52,47.98,48.495,83734400
2018-06-07,48.535,48.55,48.085,48.365,85388800
2018-06-08,47.792,48.0,47.443,47.925,106627200
2018-06-11,47.838,47.993,47.553,47.807,73234000
2018-06-12,47.847,48.153,47.787,48.07,67644400
2018-06-13,48.105,48.22,47.61,47.675,86553600
2018-06-14,47.888,47.893,47.555,47.7,86440400
2018-06-15,47.507,47.54,47.065,47.21,246876800
2018-06-18,46.97,47.305,46.8,47.185,73939600
2018-06-19,46.285,46.583,45.862,46.423,134314000
2018-06-20,46.588,46.8,46.432,46.625,82514800
2018-06-21,46.812,47.088,46.235,46.365,102847600
2018-06-22,46.53,46.537,46.175,46.23,108801600
2018-06-25,45.85,46.23,45.182,45.542,126652400
2018-06-26,45.748,46.632,45.635,46.107,98276800
2018-06-27,46.307,46.82,46.007,46.04,101141200
2018-06-28,46.025,46.553,45.95,46.375,69460800
2018-06-29,46.572,46.798,45.728,46.278,90950800
2018-07-02,45.955,46.825,45.855,46.795,70925200
2018-07-03,46.947,46.987,45.885,45.98,55819200
2018-07-05,46.315,46.603,46.07,46.35,66416800
2018-07-06,46.355,47.107,46.3,46.993,69940800
2018-07-09,47.375,47.67,47.325,47.645,79026400
2018-07-10,47.678,47.82,47.545,47.588,63756400
2018-07-11,47.125,47.445,46.903,46.97,75326000
2018-07-12,47.382,47.853,47.327,47.757,72164400
2018-07-13,47.77,47.96,47.725,47.833,50055600
2018-07-16,47.88,48.162,47.605,47.728,60172400
2018-07-17,47.438,47.967,47.3,47.862,62138000
2018-07-18,47.945,47.95,47.482,47.6,65573600
2018-07-19,47.423,48.138,47.423,47.97,81147200
2018-07-20,47.945,48.107,47.542,47.86,82704800
2018-07-23,47.67,47.99,47.39,47.903,63957600
2018-07-24,48.112,48.415,48.013,48.25,74791600
2018-07-25,48.265,48.713,48.107,48.705,66839600
2018-07-26,48.653,48.99,48.403,48.553,76304000
2018-07-27,48.748,48.798,47.525,47.745,96096000
2018-07-30,47.975,48.05,47.268,47.478,84118000
2018-07-31,47.575,48.035,47.335,47.572,157492000
2018-08-01,49.783,50.44,49.327,50.375,271742800
2018-08-02,50.145,52.095,50.088,51.847,249616000
